event_timestamp,advertising_id,advertising_id_type,user_id,ad_unit,ad_network,instance_name,country,placement,segment,AB_Testing,revenue
2021-01-12 12:16:08,cd8d1726-6199-4ffe-95e7-59094b7af61f,idfa,87b7ca6b-07ba-433a-9d44-c4dd98878902,rewarded_video,IronSource,reward gang appolvin,KH,"","",A,0.0
2021-01-12 07:02:24,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 07:05:30,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 07:16:05,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 04:47:38,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 05:09:04,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 12:37:04,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 06:49:09,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 06:58:39,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 01:01:04,2570acd3-4344-4ccc-9067-e9a721e89911,idfa,9eea5e79-6aaf-4766-b479-ac83748a2fdb,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 05:06:23,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 07:18:14,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 06:54:19,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 05:19:58,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 05:03:32,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 05:00:24,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 05:15:44,fcbafa42-2529-4e6c-a285-9b45e1348bbc,idfa,cbb80af7-e325-4f5d-8eb4-e81cfa5c7dd3,rewarded_video,IronSource,reward gang appolvin,PH,"","",A,0.0
2021-01-12 20:52:40,738dbffd-4e01-4411-a370-08d31d6b6f69,idfa,416841d5-e63d-4e40-95d4-43d20bc8922c,rewarded_video,IronSource,reward gang appolvin,IE,"","",A,0.0
2021-01-12 14:47:23,859f8caa-59cc-478c-bfe3-4f87987a628e,idfv,859f8caa-59cc-478c-bfe3-4f87987a628e,rewarded_video,IronSource,reward gang appolvin,VN,"","",A,0.0
2021-01-12 02:28:56,0d89ad0e-726b-4f9f-b499-f6cb027093c7,idfv,0d89ad0e-726b-4f9f-b499-f6cb027093c7,rewarded_video,IronSource,reward gang appolvin,VN,"","",A,0.0
2021-01-12 14:51:32,417257bf-97fd-40b3-9da0-7add048b534b,idfa,86d39f6a-fa83-41c9-9211-d4670f2700a5,rewarded_video,IronSource,reward gang appolvin,VN,"","",A,0.0
2021-01-12 13:29:02,076bbeaf-fe4a-482a-82d1-5ae38d31be17,idfv,076bbeaf-fe4a-482a-82d1-5ae38d31be17,rewarded_video,IronSource,reward gang appolvin,VN,"","",A,0.0
2021-01-12 00:31:44,2c65ed8b-25ad-49c6-b593-102a7dc85683,idfv,2c65ed8b-25ad-49c6-b593-102a7dc85683,rewarded_video,IronSource,reward gang appolvin,VN,"","",A,0.0
